timestamp,s1_c1_y,s1_c2_y,s2_c1_y,s2_c2_y,s3_c1_y,s3_c2_y,s4_c1_y,s4_c2_y,s5_c1_y,s5_c2_y,s6_c1_y,s6_c2_y
-302,0,68,0,68,0,68,0,68,0,68,0,68
-301,0,68,0,68,0,68,0,68,0,68,0,68
-300,0,68,0,68,0,68,0,68,0,68,0,68
-299,0,68,0,68,0,68,0,68,0,68,0,68
-298,0,68,0,68,0,68,0,68,0,68,0,68
-297,0,68,0,68,0,68,0,68,0,68,0,68
-296,0,68,0,68,0,68,0,68,0,68,0,68
-295,0,68,0,68,0,68,0,68,0,68,0,68
-294,0,68,0,68,0,68,0,68,0,68,0,68
-293,0,68,0,68,0,68,0,68,0,68,0,68
-292,0,68,0,68,0,68,0,68,0,68,0,68
-291,0,68,0,68,0,68,0,68,0,68,0,68
-290,0,68,0,68,0,68,0,68,0,68,0,68
-289,0,68,0,68,0,68,0,68,0,68,0,68
-288,0,68,0,68,0,68,0,68,0,68,0,68
-287,0,68,0,68,0,68,0,68,0,68,0,68
-286,0,68,0,68,0,68,0,68,0,68,0,68
-285,0,68,0,68,0,68,0,68,0,68,0,68
-284,0,68,0,68,0,68,0,68,0,68,0,68
-283,0,68,0,68,0,68,0,68,0,68,0,68
-282,0,68,0,68,0,68,0,68,0,68,0,68
-281,0,68,0,68,0,68,0,68,0,68,0,68
-280,0,68,0,68,0,68,0,68,0,68,0,68
-279,0,68,0,68,0,68,0,68,0,68,0,68
-278,0,68,0,68,0,68,0,68,0,68,0,68
-277,0,68,0,68,0,68,0,68,0,68,0,68
-276,0,68,0,68,0,68,0,68,0,68,0,68
-275,0,68,0,68,0,68,0,68,0,68,0,68
-274,0,68,0,68,0,68,0,68,0,68,0,68
-273,0,68,0,68,0,68,0,68,0,68,0,68
-272,0,68,0,68,0,68,0,68,0,68,0,68
-271,0,68,0,68,0,68,0,68,0,68,0,68
-270,0,68,0,68,0,68,0,68,0,68,0,68
-269,0,68,0,68,0,68,0,68,0,68,0,68
-268,0,68,0,68,0,68,0,68,0,68,0,68
-267,0,68,0,68,0,68,0,68,0,68,0,68
-266,0,68,0,68,0,68,0,68,0,68,0,68
-265,0,68,0,68,0,68,0,68,0,68,0,68
-264,0,68,0,68,0,68,0,68,0,68,0,68
-263,0,68,0,68,0,68,0,68,0,68,0,68
-262,0,68,0,68,0,68,0,68,0,68,0,68
-261,0,68,0,68,0,68,0,68,0,68,0,68
-260,0,68,0,68,0,68,0,68,0,68,0,68
-259,0,68,0,68,0,68,0,68,0,68,0,68
-258,0,68,0,68,0,68,0,68,0,68,0,68
-257,0,68,0,68,0,68,0,68,0,68,0,68
