id	weight	title	languages	libraries_APIs	software	technologies	Standards	description	image_url
1	30	Boston Car Data Explorer	"JavaScript,SQL"	"D3.js, Leaflet, ColorBrewer, Crossfilter"	"PostgreSQL, GitHub, ogr2ogr"	"GIS, dataviz, GUI, UI, UX, database"	"SVG, HTML, JSON, CSS"	"Won Collaborative Data Award in 2014 doing work for the Mass. D.O.T. and MAPC in the <a href=""http://www.37billionmilechallenge.org/"">""37 Billion Mile Data Challenge""</a>. Contributed the <a href=""https://mass-datathon-cornish-rex.github.io/#car-data"">Boston Car Data Explorer</a> interactive data visualization tool (<a href=""https://mass-datathon-cornish-rex.github.io/dc_massdrive3/dc_massdrive_BOSTON-1920x1080.html"">1920x1080 version</a>) using <a href=""http://d3js.org/"">D3.js</a>, <a href=""http://square.github.io/crossfilter/"">crossfilter</a>, <a href=""http://dc-js.github.io/dc.js/"">dc.js</a>. Our submission was the <a href=""https://mass-datathon-cornish-rex.github.io/"">MassVehicleExplorer</a>."	project_images/MassVehicleExplorer_screenshot.png
2	100	Multi-User Multi-Touch SDK	"C/C++,Java,C#,VB.NET,Flash/ActionScript,JavaScript"	"ActiveX, Swing, D3.js, WinForms, D3.js, ActionScript3"	"Eclipse, NetBeans, Visual Studio, Flash Professional, Adobe CS (PhotoShop, Flash, Professional) "	"UX, dataviz, GUI, UI, OO, HMI, HCI"		"As Chief Software Architect for a shipping commercial product, created the contents and packaging for the DiamondTouch SDK. The SDK includes application, demo and utility software with code modules for C, Java, C#/VB.NET, D3.js, Flash, JavaScript. DiamondTouch is the <a href=""http://www.businesswire.com/news/home/20121012005518/en/Multi-User-DiamondTouch-Touchscreen-Display-Honored-ACM-Symposium#.U_SgsfldVhk"">award-winning</a> multi-user touch table technology that knows <i>who</i> is touching <i>where</i>. <br>See all  <a href=""http://circletwelve.com/videos.html"">DiamondTouch product videos</a>."	project_images/DiamondTouch_in_MERL_lobby.jpg
3	50	Precision Hover	VB.NET	WinForms	"Visual Studio, Visio"	"UX, GUI, HCI, HMI, UI"		"Invented elegant precision-hover gesture capability (not available in current tablets and touchscreens) that allows touchers to precisely target single pixels on the touch display. Many user experience tasks such as this required many iterations to achieve the desired effect. This work was for the <a href=""Copy of DiamondTouchMouse/DiamondTouch Mouse Users Manual.htm"">DTMouse mouse emulation utility</a> for the DiamondTouch SDK by <a href=""http://circletwelve.com/"">Circle Twelve Inc</a>. [<a href=""Videos/PrecisonHoverOverAfricaHiQuality.wmv"">Video</a>]"	project_images/Precision_Hover_Collage.jpg
4	70	Elevator Simulator (D3.js)	"C/C++,JavaScript"	"D3.js, Flash, Flex, AS3"	Adobe Flash/Flex Builder	"GUI, dataviz, UI, OO"	"SVG, HTML "	"Created an interactive visualization of a multi-shaft, double-car elevator scheduling algorithm using first Flash/AS3/Flex then D3.js. See it running <a href=""EleVizD3/EleVizD3.html"">here</a>. The visualization revealed a ""stuck lift"" scenario that was fixed before release.  Data was generated by writing a multi-car C/C++ extension for the industry-standard elevator traffic analysis and simulation software (Elevate) (described elsewhere)."	project_images/EleVizD3.png
5	90	Database Development for Car HMI	"Python,SQL"	"PL/pgSQL, Google Earth, Google Maps"	"WEKA, PostgreSQL, PostGIS, Excel"	"KML, UI, UX, dataviz, OO, HMI, database"		"Over 6 billion raw GPS and CAN-bus data items collected for an automotive HMI project (to predict and propose driver actions) required a database and extensive cleanup.<ul><li style=""list-style-type:square"">Architected a database including a 600-column table for feature generation. Extensive PL/pgSQL and Python coding to perform data cleansing and address out-of-memory problems (with Python, WEKA, PostgreSQL/PostGIS, and connectors). Project was completed on time and promoted as ""Ultra-simple Predictive HMI"" in 2014.</li><li style=""list-style-type:square"">Developed algorithms for area familiarity, trip segmentation, coalescing data.</li> <li style=""list-style-type:square"">Developed web-based trip data visualizations to impress stakeholders and find problems (Google Earth & Maps). Image shows enhancement by graphic designer from my template.</li></ul> "	project_images/CarHMIViz_for_TokyoMotorShow.png
6	50	Power Load-Flow Visualization	"C#,JavaScript"	"Google Earth API, "	"Excel, Visual Studio, SVN"	"GUI, browser plugin, dataviz"	"KML, HTML"	"Created multi-dimensional charts and map animations to compare algorithm performance for a power load-flow analysis project. <a href=""images/LoadFlowViz.mp4"">MP4 Video</a>. Integration involved C#, JavaScript, Excel, Google Earth API."	project_images/LoadFlowViz_screenshot.png
7	80	Distributed Collaboration Architecture	C#	"WPF, WinForms, WebSockets4Net"	Visual Studio	"UX, GUI, HMI, HCI, UI"	"distributed computing, WebSockets"	"Developed WebSockets-based distributed touch capability for video conferencing system to connect remote tables for immersive simultaneous interaction. This was for the <a href=""http://www.circletwelve.com/products/immersion.html"">DiamondTouch Immersion</a> product."	project_images/DiamondTouch_Immersion_Distributed_Architecture.jpg
8	100	Database Schema Matching	"Java,Python"		NetBeans			"Principal/lead developer for a two-year Automatic Schema Matching (ASM) project to automatically merge database schemas. Major components included the ASM framework API, object design, process modules, dozens of matchers (e.g. lexical, structure, composite), utility programs for similarity matrices aggregation (combine matcher results) and alignment extraction (choose matches from similarity matrices), and a complete Python regression system. Developed in Java and Python on Windows, then ported to Linux.<ul><li style=""list-style-type:square"">Succeeded in achieving ambitious 90.1% matching accuracy goal. </li><li style=""list-style-type:square"">Developed an interactive 3D scatterplot schema comparison tool, and a scatterplot decision surface exploration tool (both described elsewhere). </li><li style=""list-style-type:square"">Two-year project successfully completed on-time and was incorporated into a larger data integration platform. </li></ul>"	project_images/ASM_project_context_poster.png
9	30	Decision Surface Explorer Tool	C#	WinForms				Tool (for Automatic Schema Matching project) to interactively explore scatterplot decision surfaces (C# Forms).	project_images/ASM_demo_screenshot-2012-04-24.jpg
10	30	Optimal Route Demo	"C#,JavaScript"	"Google Earth API, "	ogr2ogr	"database, KML"		Transformed 250GB telematics database for use with a demo that visually compares 3 route proposal algorithms using Google Earth animations	project_images/OptimalRouteDemo_screenshot.jpg
11	80	Video-Conferencing Remote Arms	C#	"WPF, WebSockets4Net"	Visual Studio	"UX, GUI, HMI, HCI, UI"	"distributed computing, WebSockets"	"Extended multi-user scribbling application to support remote users. Remote users show up as ""glowing arms"" as they scribble. This was for the <a href=""http://www.circletwelve.com/products/immersion.html"">DiamondTouch Immersion</a> product."	project_images/DiamondTouch_Immersion_Remote_Arms.jpg
12	80	Multi-User Multi-Touch Flash Toolkit	Flash/ActionScript					"Developed ActionScript 3 Flash toolkit for creating multi-user (DiamondTouch) games, apps, and tools with Adobe Flash.<br><a href=""Videos/RotatingAndFlickingDocuments.wmv"">Flick documents video</a>.<br><a href=""Videos/veggies_with_3_people.wmv"">Veggies game video</a>."	project_images/DTFlash.jpg
13	30	Power Theft Viz	C#					[Experimental] 3D visualization of power theft data. 	project_images/PowerTheftViz_4dims_EachHas2Sides.jpg
14	40	Collaborative Web Browsing	"JavaScript, Java"					"Developed Collaborative Web Browsing (lightweight, real-time, collaborative co-browsing) shown at 2002 International WWW Conference (HTML, JavaScript, Java Servlets)."	project_images/CollaborativeWebBrowsing_poster.png
